t, x1_compfilter, x1_phiobs, x1_fullobs
0.000000, -0.768172, -0.000819, -0.023787
0.040000, -0.768157, -0.000760, -0.023858
0.060000, -0.768160, -0.000771, -0.023932
0.080000, -0.768176, -0.000956, -0.023855
0.100000, -0.768157, -0.001048, -0.023797
0.120000, -0.768146, -0.000621, -0.024181
0.140000, -0.768146, -0.000848, -0.024019
0.160000, -0.768133, -0.000859, -0.024066
0.180000, -0.768129, -0.000834, -0.024081
0.200000, -0.768098, -0.000978, -0.023947
0.220000, -0.768103, -0.001007, -0.023822
0.240000, -0.768109, -0.000928, -0.023909
0.260000, -0.768125, -0.000912, -0.023988
0.280000, -0.768119, -0.000887, -0.024036
0.300000, -0.768104, -0.000982, -0.023901
0.320000, -0.768098, -0.000876, -0.023945
0.340000, -0.768073, -0.000846, -0.023989
0.360000, -0.768080, -0.000938, -0.023849
0.380000, -0.768086, -0.001005, -0.023758
0.400000, -0.768089, -0.001057, -0.023703
0.420000, -0.768080, -0.001050, -0.023648
0.440000, -0.768067, -0.001006, -0.023590
0.460000, -0.768064, -0.000996, -0.023559
0.480000, -0.768067, -0.000843, -0.023688
0.500000, -0.768022, -0.000769, -0.023787
0.520000, -0.768058, -0.000759, -0.023874
0.540000, -0.768062, -0.000787, -0.023955
0.560000, -0.768013, -0.001027, -0.023679
0.600000, -0.768021, -0.001024, -0.023636
0.620000, -0.768067, -0.001027, -0.023613
0.640000, -0.768036, -0.001013, -0.023592
0.660000, -0.768004, -0.000834, -0.023715
0.680000, -0.768041, -0.000812, -0.023846
0.700000, -0.768070, -0.000809, -0.023947
0.720000, -0.768020, -0.000771, -0.023998
0.740000, -0.768025, -0.000791, -0.024055
0.760000, -0.768032, -0.000823, -0.024104
0.780000, -0.768020, -0.000955, -0.023972
0.800000, -0.768002, -0.000989, -0.023854
0.820000, -0.768004, -0.000898, -0.023937
0.840000, -0.768032, -0.000995, -0.023849
0.860000, -0.768032, -0.001035, -0.023781
0.880000, -0.768007, -0.001031, -0.023719
0.900000, -0.768021, -0.001008, -0.023666
0.920000, -0.768045, -0.000894, -0.023803
0.940000, -0.768018, -0.000819, -0.023897
0.960000, -0.768016, -0.000789, -0.023969
0.980000, -0.768036, -0.000791, -0.024028
1.000000, -0.768046, -0.000814, -0.024081
1.020000, -0.768037, -0.000803, -0.024103
1.040000, -0.768028, -0.000945, -0.023968
1.060000, -0.768043, -0.000991, -0.023851
1.080000, -0.768027, -0.000875, -0.023918
1.100000, -0.768014, -0.000949, -0.023811
1.120000, -0.768018, -0.000949, -0.023713
1.140000, -0.768030, -0.000835, -0.023807
1.159999, -0.768043, -0.000931, -0.023734
1.179999, -0.768009, -0.000909, -0.023641
1.199999, -0.768107, -0.000880, -0.023565
1.219999, -0.767891, -0.000695, -0.023414
1.239999, -0.767631, 0.000079, -0.023150
1.259999, -0.767645, 0.000013, -0.022967
1.279999, -0.767847, -0.000765, -0.023239
1.299999, -0.767861, -0.001319, -0.023537
1.319999, -0.767939, -0.001100, -0.023721
1.339999, -0.767885, -0.000764, -0.023971
1.359999, -0.767566, 0.000161, -0.023728
1.379999, -0.767137, 0.001472, -0.022822
1.399999, -0.766203, 0.003543, -0.020854
1.419999, -0.762936, 0.010285, -0.016572
1.439999, -0.756095, 0.023985, -0.007418
1.459999, -0.747992, 0.040645, 0.005028
1.479999, -0.740705, 0.049966, 0.015640
1.499999, -0.735954, 0.048599, 0.020808
1.519999, -0.732310, 0.042464, 0.022168
1.539999, -0.727973, 0.038446, 0.023290
1.559999, -0.720706, 0.043258, 0.028015
1.579999, -0.710572, 0.056407, 0.037873
1.599999, -0.698387, 0.072775, 0.051166
1.619999, -0.684259, 0.089523, 0.066757
1.639999, -0.667038, 0.108417, 0.085121
1.659999, -0.645953, 0.131890, 0.107717
1.679999, -0.621560, 0.158410, 0.133892
1.699999, -0.594353, 0.184372, 0.162047
1.719999, -0.565055, 0.208003, 0.190746
1.739999, -0.534524, 0.227432, 0.218070
1.759999, -0.503337, 0.241429, 0.243031
1.779999, -0.471744, 0.251311, 0.265193
1.799999, -0.440936, 0.256274, 0.283339
1.819999, -0.412411, 0.252342, 0.295172
1.839999, -0.386623, 0.240455, 0.299834
1.859999, -0.362527, 0.225793, 0.299470
1.879999, -0.339922, 0.211660, 0.296070
1.899999, -0.318872, 0.198380, 0.290188
1.919999, -0.299414, 0.184911, 0.282313
1.939999, -0.282172, 0.170096, 0.271569
1.959999, -0.267167, 0.153458, 0.258296
1.979999, -0.253478, 0.137046, 0.243579
1.999999, -0.240937, 0.123026, 0.228431
2.019999, -0.229140, 0.111135, 0.213828
2.039999, -0.218500, 0.101299, 0.199663
2.059999, -0.207894, 0.093712, 0.186717
2.079999, -0.196638, 0.091240, 0.176948
2.099999, -0.183559, 0.094311, 0.171545
2.119999, -0.169052, 0.101322, 0.169760
2.139999, -0.153149, 0.110909, 0.171453
2.159999, -0.135670, 0.121418, 0.176221
2.179999, -0.117295, 0.131660, 0.182396
2.199999, -0.097734, 0.141529, 0.189665
2.219999, -0.077406, 0.150937, 0.197977
2.239999, -0.056202, 0.159228, 0.206918
2.259999, -0.034399, 0.166483, 0.215687
2.279999, -0.012464, 0.171459, 0.223853
2.299999, 0.008920, 0.173240, 0.229965
2.319999, 0.029108, 0.170691, 0.233203
2.339998, 0.047518, 0.164654, 0.233457
2.359998, 0.064224, 0.156640, 0.230979
2.379998, 0.077993, 0.143400, 0.224607
2.399998, 0.086201, 0.118842, 0.209526
2.419998, 0.090675, 0.086653, 0.186956
2.439998, 0.092701, 0.056710, 0.161326
2.459998, 0.092505, 0.032259, 0.135733
2.479998, 0.090801, 0.011160, 0.110494
2.499998, 0.088031, -0.006539, 0.085659
2.519998, 0.083981, -0.020571, 0.062861
2.539998, 0.079893, -0.029520, 0.043185
2.559998, 0.076026, -0.034544, 0.026696
2.579998, 0.072419, -0.037287, 0.012897
2.599998, 0.069020, -0.038648, 0.001403
2.619998, 0.065193, -0.038788, -0.007913
2.639998, 0.061791, -0.038314, -0.015450
2.659998, 0.058872, -0.036667, -0.021256
2.679998, 0.056660, -0.033473, -0.024401
2.699998, 0.054950, -0.028686, -0.025420
2.719998, 0.053823, -0.023949, -0.025418
2.739998, 0.052898, -0.020609, -0.025070
2.759998, 0.051918, -0.018525, -0.024683
2.779998, 0.050826, -0.016712, -0.023779
2.799998, 0.050813, -0.014021, -0.022345
2.819998, 0.050887, -0.011060, -0.020334
2.839998, 0.050717, -0.008668, -0.018248
2.859998, 0.050879, -0.007214, -0.016213
2.879998, 0.050915, -0.005669, -0.014119
2.899998, 0.051775, -0.003107, -0.012121
2.919998, 0.052499, -0.001094, -0.009613
2.939998, 0.053581, 0.000101, -0.007478
2.959998, 0.054664, 0.001349, -0.005128
2.979998, 0.056283, 0.003903, -0.002365
2.999998, 0.057877, 0.006769, 0.000758
3.019998, 0.059429, 0.007960, 0.002909
3.039998, 0.060504, 0.006667, 0.004100
3.059998, 0.061358, 0.004993, 0.004559
3.079998, 0.062231, 0.004150, 0.004769
3.099998, 0.062994, 0.003541, 0.005118
3.119998, 0.063935, 0.002730, 0.004908
3.139998, 0.064549, 0.001553, 0.004575
3.159998, 0.065222, 0.001195, 0.004232
3.179998, 0.065773, 0.066428, 0.065597
3.199998, 0.064950, 0.057736, 0.066380
3.219998, 0.062682, 0.052773, 0.061482
3.239998, 0.060308, 0.043753, 0.059512
3.259998, 0.059287, 0.038813, 0.054307
3.279998, 0.055249, 0.044110, 0.037002
3.299998, 0.049095, 0.034416, 0.031327
3.319998, 0.042155, 0.022894, 0.028768
3.339998, 0.034398, 0.011656, 0.027409
3.359998, 0.025227, 0.004242, 0.021450
3.379997, 0.014492, 0.000901, 0.010470
3.399997, 0.005125, -0.003237, -0.000484
3.419997, -0.001151, -0.006192, -0.012753
3.439997, -0.011103, -0.023578, -0.021473
3.459997, -0.024495, -0.034515, -0.037104
3.479997, -0.041019, -0.046489, -0.059453
3.499997, -0.061117, -0.061727, -0.089943
3.519997, -0.085361, -0.095402, -0.110619
3.539997, -0.116203, -0.120214, -0.147239
3.559997, -0.153460, -0.157114, -0.187766
3.579997, -0.196027, -0.200778, -0.237599
3.599997, -0.242916, -0.257064, -0.281040
3.619997, -0.287117, -0.280924, -0.314992
3.639997, -0.319426, -0.264430, -0.327526
3.659997, -0.343279, -0.217837, -0.316686
